X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-1053,-285,105,59.8,-10.9,-24.5,-285,-196,33,3
-516,-377,212,8.4,2.1,22.2,-300,-193,31,3
5,-78,-161,-19.1,31.4,76.9,-307,-177,53,3
-73,181,39,-24.0,34.1,119.5,-297,-143,63,3
319,304,326,22.0,0.1,163.1,-281,-118,64,3
-382,-337,34,-218.8,57.8,56.9,-264,-98,57,3
8,-962,163,116.7,25.7,104.8,-231,-61,68,3
-513,-287,349,44.0,17.9,77.5,-212,-49,83,3
-1261,-1010,-9,-43.5,27.5,36.8,-200,-44,111,3
-1649,-885,3,47.6,12.7,5.9,-188,-46,137,3
-1998,-100,95,106.3,-4.9,-25.2,-185,-63,162,3
-1731,21,-91,0.7,-26.5,-67.6,-201,-100,149,3
-1998,-125,426,-48.7,-34.3,-105.4,-216,-133,124,3
-1409,-474,-306,34.7,-45.0,-126.7,-220,-149,99,3
-1739,82,281,37.6,-67.7,-120.1,-227,-172,57,3
-1445,-367,99,-21.7,-47.8,-104.3,-250,-191,47,3
-1187,-622,-36,-9.3,-31.3,-86.3,-267,-201,24,3
-990,-238,117,59.5,-18.7,-20.9,-282,-194,31,3
-480,-163,168,12.0,8.4,34.5,-304,-190,28,3
-76,-155,20,-39.3,31.5,79.3,-308,-169,40,3
-39,142,-71,-23.2,44.6,133.7,-297,-138,43,3
262,228,430,48.4,5.2,168.2,-275,-107,44,3
-292,-460,-203,-175.2,52.5,74.4,-252,-99,46,3
-105,-990,104,69.5,22.1,115.9,-227,-58,64,3
-791,-262,197,69.3,18.2,92.2,-203,-48,80,3
-1301,-935,44,-48.0,31.9,29.8,-189,-47,102,3
-1637,-1156,-30,16.6,26.5,-9.1,-189,-48,158,3
-1998,-115,-100,177.2,-0.4,-24.0,-190,-60,170,3
-1696,507,26,38.4,-16.3,-84.4,-213,-89,150,3
-1952,-126,272,-128.9,-17.6,-139.6,-225,-133,121,3
-1431,-697,-521,40.8,-46.4,-129.0,-232,-137,120,3
-1716,346,151,128.8,-65.1,-100.0,-235,-167,89,3
-1216,-384,-31,-72.1,-50.8,-109.6,-256,-199,62,3
-1213,-700,-215,-23.0,-34.3,-80.7,-269,-211,42,3
-978,-350,90,57.5,-27.9,-21.3,-291,-192,28,3
-599,-214,132,29.2,-4.6,33.0,-307,-197,41,3
-136,-163,29,-23.9,31.0,88.3,-310,-179,57,3
89,187,29,-22.3,34.4,128.6,-298,-146,66,3
485,350,348,14.4,-6.6,172.3,-279,-102,57,3
-459,-627,-130,-184.2,46.2,71.2,-249,-82,62,3
-46,-926,138,93.4,11.2,110.2,-223,-51,68,3
-653,-141,281,57.2,13.1,89.0,-201,-46,84,3
